first,last,email,id
Patrick,Adams,pladams2@students.wcu.edu ,202101
Marley,Bobbet,mbbobbet1@students.wcu.edu ,202102
Katie,Boom,kaboom1@students.wcu.edu ,202103
Dale,Clover,daclover2@students.wcu.edu ,202104
Nancy,Ever,noever1@students.wcu.edu ,202105
Ivan,Fawcett,idfawcett1@students.wcu.edu ,202106
David,Grange,dagrange1@students.wcu.edu ,202107
Mack,Krell,makrell1@students.wcu.edu ,202108
Ursula,Hole,uahole1@students.wcu.edu ,202109
Hugh,Janus,hujanus1@students.wcu.edu ,202110
Andrew,Kay,aokay1@students.wcu.edu ,202111
Kitty,Kitt,kakitt1@students.wcu.edu ,202112
Lister,Link,lilink1@students.wcu.edu ,202113
Phillip,McCavity,phmcavity1@students.wcu.edu ,202114
Ruby,Murray,rbmurray2@students.wcu.edu ,202115
Pat,O'Cake,ptcake1@students.wcu.edu ,202116
Oscar,Corral,okcorral1@students.wcu.edu ,202118
Tim,Pitts,thpitts1@students.wcu.edu ,202119
Miles,Post,mepost1@students.wcu.edu ,202120
Johnathan,Quailey,jaqualey1@students.wcu.edu ,202121
Chrissy,Rinde,crrinde@students.wcu.edu,202122
Sunny,Setts,sasetts1@students.wcu.edu ,202123
Tess,Tube,tltube2@students.wcu.edu ,202124
Bart,Tubb,batubb1@students.wcu.edu ,202125
Jack,Daniels,jedaniels3@students.wcu.edu ,202126
Doug,Swaile,dcswaile1@students.wcu.edu ,202127
Douglass,Lock,dalock1@students.wcu.edu ,202128
Wesley,Tward,wetward1@students.wcu.edu ,202129
Synthia,Size,stsize1@students.wcu.edu ,202130
Bernie,Winters,bawinters2@students.wcu.edu ,202131
Punjit,Dee,phdee@students.wcu.edu ,202132
