Name,Student ID,Email,GPA,Prev Course,Schedule,Weekends,Commute,On-Campus Job,Off-Campus Job,Age,Software,Commitment Lvl,Leadership Role,Leadership Pref,Big Pict
" Adams, Patrick",202101,pladams2@students.wcu.edu,3.449 (2),3 (2),"Sun21,Sun20,Sun19,Sun18,Sun17,Sun16,Sun15,Sun14,Sat21,Sat20,Sat19,Sat18,Sat17,Sat16,Sat15,Sat14,Sat13,Sat12,Sat11,Sat10,Sat9,Sat8,Fri21,Fri20,Fri19,Fri18,Fri17,Fri14,Fri13,Fri12,Fri11,Thu18,Thu17,Thu16,Thu15,Thu14,Thu13,Thu12,Thu11,Wed21,Wed20,Wed19,Wed18,Wed17,Wed14,Wed13,Wed12,Wed11,Wed9,Tue17,Tue16,Tue15,Tue14,Tue13,Mon21,Mon20,Mon19,Mon18,Mon17,Mon14,Mon13,Mon12",OK,15min,0 (1),20 (4),19 (1),Good,2-4 hours per week,Balanced,One Leader w/ Input,Balanced
"Bobett, Marley",202102,mbbobbet1@students.wcu.edu,2.8 (1),3 (2),"Sun21,Sun20,Sun19,Sun18,Sun17,Sun16,Sun15,Sun14,Sun13,Sun12,Sun11,Sun10,Sun9,Sun8,Sat21,Sat20,Sat19,Sat18,Sat17,Sat16,Sat15,Sat14,Sat13,Sat12,Sat11,Sat10,Sat9,Sat8,Fri17,Fri16,Fri15,Fri10,Fri9,Fri8,Thu16,Thu15,Thu14,Wed17,Wed16,Wed15,Wed10,Wed9,Wed8,Tue16,Tue15,Tue14,Mon17,Mon16,Mon15,Mon10,Mon9,Mon8",No,On-Campus,0 (1),0 (1),23 (4),Good,5-7 hours per week,Pref Following,Shared Leadership,Visionary
"Boom, Katie",202103,kaboom1@students.wcu.edu,3.815 (3),3 (3),"Sun21,Sun9,Sun8,Sat21,Sat9,Sat8,Fri21,Fri17,Fri16,Fri15,Fri12,Fri11,Fri10,Fri9,Fri8,Thu21,Thu17,Thu16,Thu15,Thu11,Thu10,Thu9,Thu8,Wed21,Wed17,Wed16,Wed15,Wed12,Wed11,Wed10,Wed9,Wed8,Tue21,Tue17,Tue16,Tue15,Tue11,Tue10,Tue9,Tue8,Mon21,Mon17,Mon16,Mon15,Mon12,Mon11,Mon10,Mon9,Mon8",OK,On-Campus,0 (1),0 (1),19 (1),Good,5-7 hours per week,Pref Following,One Leader w/ Input,Balanced
"Clover, Dale",202104,daclover2@students.wcu.edu,3.0 (2),1 (1),"Sun21,Sun20,Sun19,Sun18,Sun17,Sun16,Sun15,Sun14,Sun13,Sun12,Fri21,Fri20,Fri19,Fri18,Fri17,Thu21,Thu20,Thu19,Thu18,Thu17,Wed21,Wed20,Wed19,Wed18,Wed17,Tue21,Tue20,Tue19,Tue18,Tue17,Mon21,Mon20,Mon19,Mon18,Mon17",Avoid,On-Campus,0 (1),0 (1),20 (2),Good,8-10 hours per week,Balanced,Shared Leadership,Balanced
"Ever, Nancy",202105,noever1@students.wcu.edu,2.819 (2),1 (1),"Sun21,Sun20,Sun19,Sun18,Sat21,Sat20,Sat19,Sat18,Fri21,Fri16,Fri15,Fri14,Fri8,Thu21,Thu16,Thu15,Thu11,Wed21,Wed16,Wed15,Wed14,Wed8,Tue21,Tue16,Tue15,Tue11,Mon21,Mon16,Mon15,Mon14,Mon8",Avoid,Longer,0 (1),10 (3),26 (4),Good,Whatever it takes,Follower,One Leader w/ Input,Prefers Ideas
"Fawcett, Ivan",202106,idfawcett@students.wcu.edu,3.5 (3),3 (2),"Sun9,Sun8,Sat9,Sat8,Fri15,Fri14,Fri13,Fri10,Fri9,Fri8,Thu16,Thu15,Thu14,Thu9,Thu8,Wed15,Wed14,Wed13,Wed10,Wed9,Wed8,Tue16,Tue15,Tue14,Tue11,Tue10,Tue9,Tue8,Mon15,Mon14,Mon13,Mon10,Mon9,Mon8",OK,On-Campus,0 (1),0 (1),19 (1),Expert,Whatever it takes,Pref Following,Shared Leadership,Prefers Ideas
"Grange, David",202107,dagrange1@student.wcu.edu,2.5 (1),2 (1),"Fri16,Fri15,Fri8,Thu16,Thu15,Thu8,Wed16,Wed15,Wed14,Wed13,Wed8,Tue16,Tue15,Tue8,Mon16,Mon15,Mon14,Mon13,Mon8",OK,15min,0 (1),0 (1),21 (3),Basic,5-7 hours per week,Follower,Shared Leadership,Prefers Detail
"Krell, Mack",202108,makrell1@students.wcu.edu,3.949 (4),4 (3),"Sun13,Sun12,Sun11,Sun10,Sun9,Fri16,Fri15,Fri12,Fri11,Fri9,Fri8,Thu21,Thu20,Thu19,Thu18,Thu17,Thu16,Thu15,Thu14,Thu11,Thu10,Wed16,Wed15,Wed12,Wed11,Wed9,Wed8,Tue15,Tue14,Tue11,Tue10,Mon16,Mon15,Mon13,Mon12,Mon11,Mon9,Mon8",Prefer,15min,6 (4),0 (1),21 (3),Expert,Whatever it takes,Pref Leading,Shared Leadership,Prefers Detail
"Hole, Ursula",202109,uahole1@student.wcu.edu,3.366 (2),3 (2),"Sun21,Sun20,Sun19,Sun18,Sun17,Sun16,Sat21,Sat20,Sat19,Sat18,Sat17,Sat16,Fri21,Fri20,Fri19,Fri18,Fri17,Fri16,Fri15,Fri11,Fri10,Fri9,Thu16,Thu15,Thu12,Thu11,Wed16,Wed15,Wed11,Wed10,Wed9,Tue16,Tue15,Tue12,Tue11,Mon16,Mon15,Mon11,Mon10,Mon9",OK,On-Campus,15 (5),0 (1),19 (1),Good,Whatever it takes,Balanced,Shared Leadership,Prefers Detail
"Janus, Hugh",202110,hujanus1@students.wcu.edu,3.906 (4),3 (3),"Sun12,Sun11,Sun10,Sun9,Sat13,Sat12,Fri16,Fri15,Fri14,Fri13,Fri11,Fri8,Thu13,Thu12,Thu11,Thu10,Wed16,Wed15,Wed14,Wed13,Wed11,Wed8,Tue13,Tue12,Tue11,Tue10,Mon16,Mon15,Mon14,Mon13,Mon11,Mon8",OK,15min,6 (4),0 (1),21 (3),Good,Whatever it takes,Balanced,Shared Leadership,Prefers Ideas
"Kay, Andrew",202111,aokay1@students.wcu.edu,3.5 (3),3 (2),"Sun21,Sun20,Sun19,Sun18,Sun17,Sun16,Sun15,Sun14,Sun13,Sat15,Sat14,Sat13,Sat12,Sat11,Sat10,Sat9,Sat8,Fri21,Fri20,Fri19,Fri18,Fri14,Fri13,Thu15,Thu14,Thu13,Thu12,Thu11,Thu10,Thu9,Thu8,Wed21,Wed20,Wed19,Wed18,Wed14,Wed13,Tue15,Tue14,Tue13,Tue12,Tue11,Tue10,Tue9,Tue8,Mon21,Mon20,Mon19,Mon18,Mon14,Mon13",OK,30min,0 (1),20 (4),21 (3),Good,Whatever it takes,Balanced,One Leader w/ Input,Visionary
"Kitt, Kitty",202112,kakitt1@students.wcu.edu,3.9 (4),4 (3),"Sun12,Sun11,Sun10,Sat21,Sat20,Sat19,Fri16,Fri15,Fri11,Fri10,Fri9,Wed16,Wed15,Wed11,Wed10,Wed9,Mon16,Mon15,Mon11,Mon10,Mon9",OK,15min,0 (1),0 (1),27 (4),Good,5-7 hours per week,Balanced,Shared Leadership,Balanced
"Link, Lister",202113,lalink1@students.wcu.edu,3.0 (2),3 (2),"Fri15,Fri13,Fri12,Fri11,Fri10,Fri9,Fri8,Thu9,Thu8,Wed15,Wed13,Wed12,Wed11,Wed10,Wed9,Wed8,Tue9,Tue8,Mon15,Mon13,Mon12,Mon11,Mon10,Mon9,Mon8",Prefer,15min,0 (1),14 (3),20 (2),Expert,Whatever it takes,Balanced,Shared Leadership,Balanced
"McCavity, Philip",202114,phmcavity1@students.wcu.edu,3.858 (3),2 (1),"Sat21,Sat20,Sat19,Fri21,Fri20,Fri19,Fri16,Fri15,Fri12,Fri11,Fri10,Fri9,Fri8,Thu16,Thu15,Thu10,Thu9,Thu8,Wed16,Wed15,Wed14,Wed13,Wed12,Wed11,Wed10,Wed9,Wed8,Tue21,Tue20,Tue16,Tue15,Tue10,Tue9,Tue8,Mon16,Mon15,Mon14,Mon13,Mon12,Mon11,Mon10,Mon9,Mon8",OK,On-Campus,0 (1),0 (1),20 (2),Expert,Whatever it takes,Balanced,Shared Leadership,Balanced
"Murray, Ruby",202115,rbmurray1@students.wcu.edu,4.0 (4),4 (3),"Sun12,Sun11,Sun10,Sat21,Sat20,Sat19,Fri16,Fri15,Fri11,Fri10,Fri9,Wed16,Wed15,Wed11,Wed10,Wed9,Mon16,Mon15,Mon11,Mon10,Mon9",OK,On-Campus,3 (4),0 (1),20 (2),Good,5-7 hours per week,Balanced,Shared Leadership,Balanced
"O'Cake, Pat",202116,ptcake1@students.wcu.edu,3.5 (3),4 (3),"Fri15,Fri10,Fri9,Fri8,Wed15,Wed10,Wed9,Wed8,Mon15,Mon10,Mon9,Mon8",OK,On-Campus,0 (1),0 (1),19 (1),Good,2-4 hours per week,Balanced,Shared Leadership,Prefers Detail
"Corral, Oscar",202118,okcorral1@students.wcu.edu,3.610 (3),4 (3),"Sun14,Sun13,Sun12,Sun11,Sun10,Sun9,Sun8,Sat13,Sat12,Sat11,Sat10,Sat9,Sat8,Fri16,Fri15,Fri12,Fri11,Fri10,Fri9,Fri8,Thu21,Thu20,Thu19,Thu18,Thu17,Thu10,Thu9,Thu8,Wed16,Wed15,Wed12,Wed11,Wed10,Wed9,Wed8,Tue10,Tue9,Tue8,Mon16,Mon15,Mon12,Mon11,Mon10,Mon9,Mon8",Prefer,15min,0 (1),16 (4),21 (3),Expert,Whatever it takes,Balanced,Shared Leadership,Balanced
"Pitts, Tim",202119,thpitts1@students.wcu.edu,3.579 (3),3 (2),"Fri16,Fri15,Fri12,Fri11,Fri10,Thu16,Thu15,Wed16,Wed15,Wed12,Wed11,Wed10,Tue16,Tue15,Mon16,Mon15,Mon12,Mon11,Mon10",OK,On-Campus,0 (1),0 (1),19 (1),Expert,5-7 hours per week,Balanced,Shared Leadership,Prefers Detail
"Post, Miles",202120,mepost1@students.wcu.edu,4.0 (4),4 (3),"Fri16,Fri15,Fri13,Fri12,Fri11,Fri10,Fri9,Fri8,Thu10,Thu9,Thu8,Wed16,Wed15,Wed13,Wed12,Wed11,Wed10,Wed9,Wed8,Tue10,Tue9,Tue8,Mon16,Mon15,Mon13,Mon12,Mon11,Mon10,Mon9,Mon8",Prefer,15min,3 (4),0 (1),20 (2),Expert,Whatever it takes,Balanced,Shared Leadership,Balanced
"Quailey, Johnathan",202121,jaqualey1@students.wcu.edu,2.9 (2),2 (1),"Fri16,Fri15,Fri11,Fri10,Wed16,Wed15,Wed11,Wed10,Tue16,Tue15,Mon16,Mon15,Mon11,Mon10",OK,On-Campus,0 (1),0 (1),0 (1),Basic,Whatever it takes,Pref Following,One Leader w/ Input,Prefers Ideas
"Rinde, Chrissy",202122,crrinde1@students.wcu.edu,3.975 (4),3 (3),"Sun12,Sun11,Sun10,Sat21,Sat20,Sat19,Fri16,Fri15,Fri11,Fri10,Fri9,Wed16,Wed15,Wed11,Wed10,Wed9,Mon16,Mon15,Mon11,Mon10,Mon9",OK,30min,0 (1),0 (1),22 (4),Good,5-7 hours per week,Balanced,Shared Leadership,Balanced
"Setts, Sunny",202123,sasetts1@students.wcu.edu,2.56 (1),3 (2),"Sat15,Sat14,Sat13,Sat12,Sat11,Sat10,Sat9,Sat8,Fri16,Fri15,Fri11,Fri8,Wed16,Wed15,Wed11,Wed8,Mon16,Mon15,Mon11,Mon8",OK,30min,0 (1),20 (4),22 (4),Good,Whatever it takes,Balanced,Shared Leadership,Prefers Ideas
"Tube, Tess",202124,tltube2@students.wcu.edu,2.647 (1),3 (3),"Fri16,Fri15,Fri12,Fri11,Fri10,Fri9,Fri8,Thu16,Thu15,Thu10,Thu9,Thu8,Wed16,Wed15,Wed12,Wed11,Wed10,Wed9,Wed8,Tue16,Tue15,Tue10,Tue9,Tue8,Mon16,Mon15,Mon12,Mon11,Mon10,Mon9,Mon8",Prefer,15min,0 (1),16 (4),20 (2),Expert,Whatever it takes,Balanced,Shared Leadership,Balanced
"Tubb, Bart",202125,batubb1@students.wcu.edu,2.248 (1),3 (2),"Fri16,Fri15,Fri14,Fri13,Fri12,Fri11,Fri10,Thu17,Thu16,Thu15,Wed16,Wed15,Wed14,Wed13,Wed12,Wed11,Wed10,Tue17,Tue16,Tue15,Mon16,Mon15,Mon14,Mon13,Mon12,Mon11,Mon10",OK,Longer,0 (1),0 (1),21 (3),Good,Whatever it takes,Balanced,One Leader w/ Input,Visionary
"Daniels, Jack",202126,jedaniels3@students.wcu.edu,2.743 (1),2 (1),"Fri17,Fri16,Fri15,Fri12,Fri11,Fri10,Fri9,Thu12,Thu11,Wed17,Wed16,Wed15,Wed12,Wed11,Wed10,Wed9,Mon17,Mon16,Mon15,Mon12,Mon11,Mon10,Mon9",OK,15min,0 (1),0 (1),20 (2),Basic,2-4 hours per week,Pref Following,One Leader w/ Input,Balanced
"Swaile, Doug",202127,dcswaile1@students.wcu.edu,3.336 (2),3 (3),"Fri16,Fri15,Fri11,Fri10,Fri9,Thu20,Thu19,Thu18,Thu17,Thu16,Thu15,Wed16,Wed15,Wed11,Wed10,Wed9,Tue16,Tue15,Mon16,Mon15,Mon11,Mon10,Mon9",OK,Longer,0 (1),10 (3),23 (4),Good,5-7 hours per week,Balanced,One Leader w/ Input,Balanced
"Lock, Douglass",202128,dalock1@students.wcu.edu,4.0 (4),4 (3),"Fri16,Fri15,Fri11,Fri9,Fri8,Wed16,Wed15,Wed11,Wed8,Mon16,Mon15,Mon14,Mon11,Mon9,Mon8",Prefer,Longer,0 (1),0 (1),21 (3),Good,5-7 hours per week,Pref Following,One Leader w/ Input,Prefers Ideas
